filename,width,height,class,xmin,ymin,xmax,ymax
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,221,262,259,296
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,ICs,301,229,325,278
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,ICs,367,193,393,284
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,536,353,547,363
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,420,208,431,217
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,583,530,590,546
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,463,210,474,239
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,463,163,474,192
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,498,168,510,178
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,496,223,511,237
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,496,197,511,212
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,497,251,509,261
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,419,249,430,258
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,419,227,430,237
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,525,191,540,205
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,526,166,540,180
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,527,215,539,246
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,588,167,597,197
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,558,216,567,246
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,558,164,567,194
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,586,212,600,227
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,587,237,601,252
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,510,308,521,318
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,560,353,571,364
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,509,353,521,363
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,584,491,590,507
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,483,334,495,345
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,484,353,495,363
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,473,432,480,450
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,472,392,480,409
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,530,519,541,530
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,472,471,479,487
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,584,414,590,431
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,510,284,521,294
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,601,453,608,470
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,584,452,590,470
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,ICs,509,406,555,475
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,529,623,541,633
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,471,701,478,718
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,433,710,445,720
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,555,622,566,632
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,354,715,365,725
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,353,747,365,757
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,378,747,389,757
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,581,747,588,764
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,404,701,424,719
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,diodes,374,700,394,717
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,532,787,543,797
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,407,748,419,758
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,558,787,570,797
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,capacitors,219,684,258,718
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,ICs,240,349,428,632
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,ICs,691,280,737,412
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,ICs,602,271,648,403
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,792,214,806,227
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,783,750,797,763
s2_front_jpg.rf.2e44d6a2ad20389a274d5e68ede0c5c4.jpg,1024,1024,resistors,846,490,857,500
